,11,12,21,22,31,51,61,71,81,82,91,92,101,111,121,122
191,16.0,4.0,63.0,50.0,28.0,20.0,7.0,10.0,74.0,53.0,30.0,10.0,35.0,12.0,17.0,8.0
192,18.0,4.0,63.0,53.0,27.5,25.0,8.0,11.0,75.0,51.5,30.0,10.0,35.0,13.0,17.0,7.5
193,17.0,4.5,67.0,55.5,29.0,21.0,7.5,10.5,72.0,52.0,29.0,9.0,37.0,13.0,18.0,8.0
194,17.0,4.0,67.0,54.0,30.0,19.0,7.0,11.0,75.0,53.0,31.0,10.0,37.0,13.0,18.0,7.0
195,18.0,4.0,65.0,54.0,29.0,21.0,7.0,11.0,75.0,53.0,32.0,10.0,35.0,14.0,16.0,8.0
196,19.5,5.0,64.0,54.0,29.0,22.0,8.5,10.5,77.5,55.0,32.0,10.0,36.0,13.0,19.0,9.0
197,19.0,5.0,66.0,57.0,27.0,24.5,8.0,9.0,79.0,55.5,31.0,9.0,36.0,13.0,19.0,8.5
198,19.0,5.0,64.0,53.0,28.0,22.0,8.0,10.0,79.0,56.0,34.0,12.0,37.0,14.0,21.0,10.0
199,21.0,5.0,65.0,56.0,29.0,22.0,8.0,9.0,82.0,59.0,35.0,12.0,36.0,14.0,23.0,10.0
200,20.0,5.0,63.0,54.0,29.0,20.0,7.0,10.0,89.0,60.0,35.0,13.0,38.0,15.0,27.0,13.0
201,21.0,6.0,63.0,57.0,31.0,22.0,9.0,9.0,93.0,62.0,34.0,13.0,41.0,16.0,32.0,13.0
202,21.0,5.0,63.0,59.0,27.0,21.0,8.0,9.0,98.0,66.0,36.0,14.0,42.0,17.0,38.0,19.0
203,21.0,5.0,64.0,60.0,26.0,30.0,10.0,7.0,106.0,71.0,36.5,13.0,45.5,17.0,39.0,21.0
204,18.5,4.0,64.0,59.0,26.0,23.0,8.0,7.0,100.5,72.0,34.0,11.0,45.0,17.0,52.5,27.0
205,17.0,5.0,61.0,59.0,25.0,19.0,6.0,6.0,104.0,68.0,31.0,11.0,50.0,17.0,53.0,27.0
206,17.0,4.0,65.0,62.0,23.0,16.0,6.0,5.0,99.0,61.5,31.0,11.0,52.5,16.0,58.0,27.5
207,15.0,4.0,63.0,63.0,20.0,17.5,5.0,3.0,103.0,61.0,34.0,11.5,54.0,17.0,56.5,29.0
